throughput tt=3.58916  s=78.5278 is t=281.849
throughput tt=3.62948  s=78.4952 is t=284.896
throughput tt=3.666  s=78.5445 is t=287.944
throughput tt=3.70049  s=78.636 is t=290.992
throughput tt=3.73907  s=78.6398 is t=294.04
throughput tt=3.76917  s=78.8204 is t=297.087
throughput tt=3.80933  s=78.7894 is t=300.135
throughput tt=3.85121  s=78.724 is t=303.183
throughput tt=3.87803  s=78.9655 is t=306.23
throughput tt=3.91422  s=79.0141 is t=309.278
throughput tt=3.95438  s=78.9823 is t=312.326
throughput tt=3.98934  s=79.0541 is t=315.374
throughput tt=4.0243  s=79.1246 is t=318.421
