throughput tt=2.62332  s=110.925 is t=290.992
throughput tt=2.64791  s=111.046 is t=294.04
throughput tt=2.67249  s=111.165 is t=297.087
throughput tt=2.70227  s=111.068 is t=300.135
throughput tt=2.72686  s=111.184 is t=303.183
throughput tt=2.75144  s=111.298 is t=306.23
throughput tt=2.77602  s=111.411 is t=309.278
throughput tt=2.80581  s=111.314 is t=312.326
throughput tt=2.83039  s=111.424 is t=315.374
throughput tt=2.85498  s=111.532 is t=318.421
